employee_id,age,gender,department,job_role,monthly_income,years_at_company,work_life_balance,job_satisfaction,overtime,performance_rating,attrition
27469,24,Male,Admin,Recruiter,16356,10,4,4,No,4,Yes
49569,31,Male,Finance,Software Engineer,15671,21,1,3,No,2,No
9503,53,Female,HR,Data Analyst,15939,24,4,4,Yes,2,No
94842,23,Male,IT,Recruiter,15458,16,4,2,Yes,1,No
42559,24,Female,HR,Recruiter,15964,38,1,2,No,3,No
4820,42,Female,Operations,HR Executive,15206,31,1,2,No,5,No
55509,58,Male,Marketing,Sales Executive,15647,21,3,1,No,4,No
97627,47,Female,HR,Data Analyst,15923,15,4,2,No,2,No
66809,39,Female,Operations,Team Lead,15678,39,2,2,Yes,2,No
66185,21,Male,Finance,Manager,16129,26,4,3,Yes,4,No
83654,45,Female,Sales,Team Lead,5000,36,4,2,No,3,No
32578,43,Male,Sales,Sales Executive,16015,0,3,4,No,1,No
52608,26,Female,Operations,Recruiter,15116,30,1,1,No,1,No
50567,25,Female,HR,Data Analyst,15453,32,1,3,Yes,4,No
98335,24,Female,IT,Recruiter,15074,24,1,4,No,5,Yes
57710,38,Male,Finance,Accountant,16232,26,1,1,No,3,No
10006,22,Female,IT,Accountant,5000,26,2,1,No,3,No
65446,25,Female,HR,Business Analyst,15660,6,3,2,No,4,No
53657,59,Female,HR,Team Lead,15688,30,1,1,No,5,No
97769,18,Female,HR,Manager,16144,13,2,4,No,3,No
25764,47,Male,Finance,Recruiter,16010,7,2,2,No,3,No
91154,28,Male,Operations,Software Engineer,15048,37,2,3,No,5,Yes
19948,53,Female,HR,Accountant,15581,32,1,2,Yes,1,No
1945,34,Female,HR,HR Executive,15706,4,1,2,No,2,Yes
42838,27,Male,Admin,Data Analyst,16332,31,2,4,No,1,No
77052,32,Female,HR,Software Engineer,15199,4,2,3,Yes,5,Yes
61816,37,Female,HR,Team Lead,16338,36,4,3,Yes,1,No
54132,39,Female,Operations,Software Engineer,5000,13,3,3,Yes,3,No
87730,35,Male,HR,Data Analyst,15359,21,1,3,Yes,5,No
53098,52,Female,Finance,Data Analyst,15063,31,1,3,No,4,Yes
22352,42,Male,Admin,Accountant,15414,5,1,2,No,4,No
93296,38,Male,HR,Accountant,16333,5,3,3,No,4,No
75570,36,Female,HR,HR Executive,16121,37,2,1,No,3,No
83394,29,Male,Marketing,Accountant,15389,0,1,4,Yes,3,No
63182,26,Male,Sales,Accountant,15546,5,2,3,Yes,2,No
94812,39,Male,Operations,Software Engineer,15009,0,1,2,No,4,No
39464,18,Female,Operations,Recruiter,15054,20,4,3,No,5,No
15768,27,Female,IT,Business Analyst,16181,28,2,3,No,3,Yes
38291,44,Female,Admin,Accountant,15966,27,4,2,No,1,No
57241,25,Male,HR,HR Executive,15798,37,2,2,No,4,No
12912,54,Female,Finance,Accountant,15704,32,2,1,No,1,No
60578,27,Male,Admin,Team Lead,15298,26,4,2,Yes,3,No
99389,47,Male,HR,Recruiter,15864,9,3,3,Yes,4,No
73820,46,Female,Admin,Team Lead,15395,26,3,2,Yes,3,No
14682,35,Male,HR,Accountant,15132,34,1,4,Yes,5,Yes
52566,18,Male,HR,Team Lead,15222,20,1,1,Yes,2,No
14403,35,Female,HR,Data Analyst,15225,22,1,1,No,1,No
93027,19,Female,IT,Manager,15124,27,2,1,No,5,No
39578,56,Male,HR,Sales Executive,15758,8,2,4,Yes,3,Yes
78006,44,Male,HR,Accountant,5000,31,4,3,Yes,1,No
8316,22,Female,Sales,Accountant,15710,0,2,1,Yes,2,Yes
17575,60,Female,Marketing,Accountant,16097,10,1,4,No,2,No
27886,44,Female,HR,Team Lead,15458,9,3,3,No,2,No
76794,30,Male,HR,Software Engineer,16110,25,1,3,No,2,No
59419,38,Female,HR,Data Analyst,16105,4,4,2,Yes,1,Yes
22949,28,Female,Finance,Sales Executive,15719,5,3,4,Yes,2,No
76287,53,Female,Sales,Accountant,5000,34,1,1,Yes,2,No
7362,32,Female,Admin,Data Analyst,16144,17,4,4,No,1,No
70771,28,Male,Marketing,Sales Executive,15555,33,4,2,No,5,No
42509,51,Male,IT,Software Engineer,15780,17,4,1,No,4,No
41089,51,Male,Marketing,Software Engineer,5000,4,1,4,Yes,5,Yes
47369,40,Male,Admin,Accountant,16334,36,3,2,No,4,No
14500,33,Male,Finance,Data Analyst,15714,19,3,4,Yes,1,Yes
15532,51,Female,HR,Data Analyst,16171,0,2,4,Yes,3,Yes
98942,37,Female,Finance,Recruiter,15417,23,4,2,No,1,No
81400,34,Male,Sales,Recruiter,15672,21,1,1,Yes,2,No
20794,41,Male,HR,HR Executive,5000,10,1,1,No,5,No
60066,32,Female,Admin,Recruiter,16050,40,2,4,No,3,No
87949,60,Male,Finance,HR Executive,15045,14,2,2,No,2,No
68292,36,Female,Finance,Data Analyst,15595,29,4,1,No,1,No
8847,36,Male,Finance,Data Analyst,16017,24,3,1,No,4,No
56939,23,Male,IT,Data Analyst,15351,10,3,3,Yes,2,No
60046,50,Male,Sales,Sales Executive,5000,25,4,3,No,5,No
68962,55,Female,Admin,Software Engineer,16166,30,2,4,Yes,1,No
96955,47,Female,Sales,Business Analyst,15452,31,3,1,Yes,5,Yes
69433,54,Female,Operations,HR Executive,16243,13,1,3,No,1,No
86142,32,Female,HR,Business Analyst,16140,1,4,4,Yes,3,Yes
93821,21,Female,Finance,Data Analyst,15651,21,4,4,No,1,Yes
93234,27,Male,HR,Data Analyst,5000,21,4,3,No,1,Yes
77790,19,Male,Operations,Business Analyst,5000,28,1,2,No,4,No
